31979;PAQ 2019.002;Fazer Contato Cliente;Definir serviço e orçamento;;11/01/1900;15/01/2019;;
37644;ASS 2019.120;Arquivar;;Helio Campos;06/01/2020;06/01/2020;;
37643;ASS 2019.120;Fazer Contato Cliente;Vir ao escritório ( levou todos os papéis );Rosa;06/01/2020;06/01/2020;;
37642;PRS 2019.015;Aguardando Resposta Cliente;Definir forma de conseguir nome dos confrontantes;;16/12/2019;;;
37641;ASS 2019.108;Aguardando;Finalizar andamento do PAQ;;28/11/2020;;;
37640;ASS 2019.122;Aguardando Resposta Terceiros;Dar resposta sobre ida no IDAF ( ficou de ir dia 06 );Canella;03/01/2020;;;
37639;ASS 2016.090;Arquivar;;;03/01/2020;03/01/2020;;
37638;ASS 2016.074;Fazer Contato Terceiro;Cobrar andamento;Prefeitura - GL;03/01/2020;03/01/2020;;
37637;ASS 2019.105;Fazer Contato Terceiro;Cobrar andamento;Prefeitura - GL;03/01/2020;03/01/2020;;
37636;ASS 2016.077;Fazer Contato Cliente;Informar sobre parecer da prefeitura;;03/01/2020;;;
37635;ASS 2018.067;Fazer Contato Cliente;Informar sobre documentos;;03/01/2020;;;
37634;ASS 2019.069;Fazer Desenho;Retificar planta a pedido da prefeitura;Lucas;03/01/2020;;;
37633;ASS 2016.090;Fazer Contato Cliente;Passar número da conta pra depósito;Marcos Paulo;03/01/2020;03/01/2020;;
37632;ASS 2016.090;Fazer Contato Terceiro;Retirar certidão detalhada;Prefeitura - GL;03/01/2020;03/01/2020;;
37631;ASS 2019.082;Arquivar;;;03/01/2020;03/01/2020;;
37630;PRS 2018.035;Fazer Desenho;;Lucas;17/11/2019;26/12/2019;;
37629;PRS 2018.036;Arquivar;Continua no PRS 2018.035;;03/01/2020;03/01/2020;;
37628;ASS 2019.069;Fazer Contato Terceiro;Retirar planta pra retificar;Prefeitura - GL;02/01/2020;03/01/2020;;
37627;ASS 2019.110;Aguardando Resposta Terceiros;Alcione - Análise;Prefeitura - GL;02/01/2020;;;
37626;ASS 2019.110;Aguardando Resposta Terceiros;Para Providências;Prefeitura - SEMDURB;02/01/2020;02/01/2020;;
37625;ASS 2019.033;Aguardando Resposta Terceiros;Para conferencia do novo projeto ;Prefeitura - GFO;11/12/2019;;;
37624;ASS 2015.076;Aguardando Resposta Terceiros;Para informar ;Prefeitura - CFO;20/02/2019;;;
37623;ASS 2015.076;Aguardando Resposta Terceiros;Anexo ao protocolo 3953/2018;;18/02/2019;20/02/2019;;
37622;PRS 2018.035;Desenhando;;Lucas;26/12/2019;;;
37621;PAQ 2019.040;Fazer Contato Cliente;Reagendar medição;;22/11/2019;;;
37620;ASS 2019.087;Aguardando Resposta Terceiros;Para informar;Prefeitura - CFO;20/12/2020;;;
37619;ASS 2019.087;Aguardando Resposta Terceiros;Para providencias;Prefeitura - GFO;20/12/2020;20/12/2020;;
37618;ASS 2016.090;Aguardando Resposta Cliente;Devolver documentos assinados;Marcos Paulo;02/01/2020;03/01/2020;;
37617;ASS 2016.090;Fazer Contato Cliente;Definir forma assinatura procuração ( Via zap );Marcos Paulo;02/01/2020;02/01/2020;;
37616;ASS 2016.090;Atividades Internas;Elaborar procuração Marcos Paulo;;26/12/2019;02/01/2020;;
37615;PAQ 2019.057;Fazer Desenho;Elaborar estudo;Helio Campos;31/12/2019;;;
37614;PAQ 2019.057;Fazer Contato Cliente;Definir serviço e orçamento;;31/12/2019;31/12/2019;;
37613;PRS 2019.038;Fazer Contato Terceiro;Solicitar retificações desenho;Rafael;31/12/2019;;;
37612;PRS 2019.038;Aguardando Resposta Cliente;Vir ao Escritório;;30/12/2019;31/12/2019;;
37611;PRS 2019.038;Fazer Contato Cliente;Agendar Entrega;;30/12/2019;30/12/2019;;
37610;ASS 2019.122;Fazer Contato Terceiro;Tirar dúvida sobre ITR;Canella;30/12/2019;03/01/2020;;
37609;ASS 2019.046;Fazer Contato Terceiro;Confirmar nomes Confrontantes;Karein e Jessie;30/12/2019;;;
37608;ASS 2019.046;Fazer Contato Terceiro;Confirmar nome Confrontante;Gilberto;30/12/2019;;;
37607;ASS 2019.046;Atividades Internas;Imprimir Certidão On line matricula 23.389;Internet - CR;30/12/2019;30/12/2019;;
37606;ASS 2018.077;Fazer Contato Cliente;Solicitar Assinaturas;;30/12/2019;;;
37605;ASS 2018.077;Fazer Contato Terceiro;Solicitar Assinaturas;Milton Assad;30/12/2019;30/12/2019;;
37604;ASS 2019.099;Aguardando Resposta Terceiros;Para Providências;Prefeitura - CA;27/12/2019;;;
37603;ASS 2019.099;Aguardando Resposta Terceiros;Por competência;Prefeitura - GCI;27/12/2019;27/12/2019;;
37602;ASS 2019.110;Aguardando Resposta Terceiros;Para Providências;Prefeitura - SEMAD;26/12/2019;02/01/2020;;
37601;ASS 2013.173;Aguardando Resposta Terceiros;Para assinar documentos;Prefeitura - SEMDURB;26/12/2019;;;
37600;ASS 2019.080;Aguardando Resposta Terceiros;Para assinar documentos;Prefeitura - SEMDURB;26/12/2019;;;
37599;ASS 2019.092;Aguardando Resposta Terceiros;Alcione - análise;Prefeitura - GL;27/12/2019;;;
37598;PAQ 2019.010;Fazer Desenho;Retificar a pedido da prefeitura;Lucas;30/12/2019;;;
37597;ASS 2019.079;Fazer Contato Terceiro;Agendar conversa sobre defesa processo Loteamento;Dr. Hugo;28/12/2019;;;
37596;ASS 2019.120;Aguardando Resposta Cliente;Retornar mensagem zap (Só virá quando o orçamento do Sandro estiver pronto);Rosa;30/12/2019;30/12/2019;;
37595;ASS 2019.120;Fazer Contato Cliente;Agendar entrega;Rosa;30/12/2019;30/12/2019;;
37594;ASS 2019.046;Aguardando Resposta Terceiros;Aguardando Protocolo 092891;CRI - 1ª Zona;30/12/2019;30/12/2019;06/01/2020;
37593;ASS 2019.046;Fazer Contato Terceiro;Solicitar certidão Matricula lote 09 quadra 37 Matrícula 7628;CRI - 1ª Zona;30/12/2019;30/12/2019;;
37592;ASS 2019.021;Fazer Contato Cliente;Solicitar Assinaturas Plantas e RRT;;13/12/2019;30/12/2019;;
37591;ASS 2019.123;Atividades Internas;Iniciar processo ;Site - Receita Federal;30/12/2019;;;
37590;ASS 2019.123;Fazer Contato Cliente;Definir serviço e orçamento;Helio Campos;30/12/2019;30/12/2019;;
37589;ASS 2019.044;Arquivar;;Helio Campos;30/12/2019;30/12/2019;;
37588;ASS 2019.121;Fazer Contato Terceiro;Solicitar planta para descaracterização ;Metro Topografia;27/12/2019;;13/01/2020;
37587;PAQ 2019.013;Atividades Internas;Analisar desenho enviado por Valter;Helio Campos;27/12/2019;;;
37586;PRS 2019.038;Aguardando Resposta Terceiros;Entregar planta e ART;Rafael;27/12/2019;30/12/2019;;
37585;PRS 2019.038;Fazer Contato Terceiro;Pagar taxa / ART;Bancos / Loteria;27/12/2019;27/12/2019;;
37584;ASS 2019.072;Fazer Desenho;Retificar a pedido Prefeitura;Lucas;27/12/2019;;;
37583;ASS 2019.009;Fazer Desenho;Retificar a pedido Prefeitura;Lucas;27/12/2019;;;
37582;ASS 2011.114;Arquivar;Por inatividade;Helio Campos;28/12/2019;28/12/2019;;
37581;PAQ 2018.013;Arquivar;Por Inatividade;Helio Campos;28/12/2019;28/12/2019;;
37580;PAQ 2018.034;Arquivar;;;18/01/2019;18/01/2019;;
37579;ASS 2018.126;Fazer Contato Cliente;Comunicar pedido Prefeitura;;27/12/2019;;;
37578;ASS 2018.126;Aguardando Resposta Terceiros;Eduardo - Reanálise ( Alcione solicitou retificações );Prefeitura - GL;06/11/2019;27/12/2019;;
37577;ASS 2017.075;Arquivar;;Helio Campos;27/12/2019;27/12/2019;;
37576;ASS 2019.122;Fazer Contato Terceiro;Pagar taxa CCIR;Bancos / Loteria;27/12/2019;30/12/2019;;
37575;ASS 2019.122;Fazer Contato Cliente;Definir serviço e orçamento;;27/12/2019;27/12/2019;;
37574;ASS 2017.075;Aguardando Resposta Cliente;Efetuar pagamento parcela 2/2;;27/12/2019;31/12/2019;;
37573;ASS 2017.075;Atividades Internas;Fechar conta e definir próxima etapa;Helio Campos;17/12/2019;27/12/2019;;
37572;ASS 2018.077;Atividades Internas;Imprimir ART;;27/12/2019;30/12/2019;;
37571;ASS 2019.117;Atividades Internas;Imprimir ART;;27/12/2019;30/12/2019;;
37570;ASS 2019.117;Fazer Contato Terceiro;Pagar taxa / ART;Bancos / Loteria;27/12/2019;27/12/2019;;
37569;ASS 2019.009;Fazer Contato Terceiro;Retirar planta para retificar;Prefeitura - GL;27/12/2019;27/12/2019;;
37568;PAQ 2019.019;Atividades Internas;Imprimir ART;;27/12/2019;27/12/2019;;
37567;ASS 2019.120;Aguardando Resposta Terceiros;Atender solicitação;Sandro - Cartório;27/12/2019;;;
